chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	1611931	1612580	0.84	0.90	0.83	0.85	0.89	0.84	0.79	0.92	0.78	0.90	0.84	0.97	0.95	0.92	0.92	0.95	0.95	0.95	0.09	0.94	0.92	0.67	0.92	0.95	0.95	0.94	0.93	0.90	0.86	0.50	0.88	0.92	0.94	0.94	0.02	0.94	0.87	0.91	0.91
chr1	1664496	1664838	0.89	0.91	0.90	0.86	0.86	0.85	0.88	0.90	0.97	0.94	0.92	0.96	0.92	0.05	0.84	0.90	0.88	0.98	0.89	0.95	0.93	0.78	0.95	0.96	0.97	0.96	0.93	0.80	0.89	0.88	0.93	0.92	0.91	0.88	0.96	0.92	0.89	0.93	0.88
chr1	1782175	1782568	0.05	0.04	0.16	0.06	0.08	0.11	0.04	0.02	0.05	0.13	0.14	0.04	0.00	0.00	0.02	0.02	0.01	0.03	0.04	0.01	0.01	0.20	0.70	0.25	0.18	0.17	0.38	0.06	0.04	0.01	0.09	0.02	0.03	0.03	0.01	0.01	0.01	0.01	0.01
chr1	1785845	1786384	0.92	0.96	0.93	0.93	0.93	0.94	0.91	0.97	0.95	0.93	0.93	0.98	0.97	0.96	0.94	0.94	0.95	0.96	0.24	0.97	0.97	0.92	0.96	0.98	0.98	0.96	0.98	0.95	0.96	0.96	0.97	0.95	0.98	0.96	0.97	0.91	0.96	0.97	0.97
chr1	1880396	1880674	0.85	0.88	0.91	0.91	0.87	0.90	0.92	0.94	0.95	0.82	0.89	0.97	0.92	0.92	0.85	0.84	0.88	0.93	0.94	0.96	0.95	0.86	0.95	0.82	0.94	0.93	0.92	0.93	0.94	0.95	0.96	0.95	0.97	0.94	0.95	0.30	0.93	0.70	0.16
chr1	1917488	1918235	0.90	0.93	0.87	0.87	0.86	0.51	0.86	0.96	0.84	0.94	0.96	0.97	0.94	0.04	0.96	0.95	0.97	0.96	0.95	0.94	0.91	0.76	0.90	0.94	0.93	0.94	0.89	0.91	0.92	0.86	0.93	0.92	0.95	0.95	0.93	0.95	0.93	0.94	0.93
chr1	2075420	2075872	0.79	0.84	0.88	0.78	0.80	0.79	0.71	0.89	0.67	0.17	0.08	0.96	0.93	0.95	0.91	0.95	0.94	0.95	0.93	0.96	0.95	0.68	0.93	0.94	0.95	0.96	0.95	0.92	0.92	0.92	0.95	0.96	0.95	0.95	0.90	0.95	0.93	0.96	0.92
chr1	2212530	2213043	0.01	0.01	0.03	0.02	0.02	0.03	0.02	0.01	0.02	0.03	0.02	0.81	0.01	0.02	0.04	0.02	0.03	0.06	0.03	0.00	0.02	0.00	0.03	0.02	0.01	0.01	0.03	0.03	0.00	0.00	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01
chr1	2306895	2307408	0.92	0.94	0.83	0.89	0.93	0.92	0.82	0.93	0.93	0.94	0.27	0.97	0.97	0.96	0.95	0.96	0.96	0.97	0.96	0.97	0.96	0.91	0.96	0.97	0.97	0.97	0.96	0.95	0.94	0.95	0.96	0.95	0.97	0.95	0.96	0.96	0.96	0.96	0.97
chr1	2374539	2374690	0.91	0.92	0.69	0.84	0.87	0.92	0.78	0.95	0.44	0.89	0.90	0.95	0.90	0.86	0.81	0.87	0.84	0.81	0.94	0.97	0.90	0.71	0.79	0.82	0.92	0.94	0.07	0.89	0.93	0.90	0.87	0.88	0.94	0.97	0.85	0.93	0.93	0.90	0.87
chr1	2384160	2384745	0.89	0.89	0.89	0.88	0.92	0.90	0.88	0.95	0.90	0.90	0.27	0.95	0.95	0.88	0.93	0.94	0.96	0.96	0.96	0.96	0.95	0.79	0.93	0.95	0.95	0.94	0.90	0.94	0.91	0.93	0.94	0.94	0.97	0.94	0.94	0.94	0.94	0.94	0.94
chr1	3156184	3156393	0.69	0.71	0.68	0.70	0.81	0.79	0.72	0.90	0.82	0.95	0.80	0.82	0.84	0.65	0.02	0.45	0.50	0.78	0.91	0.91	0.80	0.51	0.80	0.80	0.82	0.84	0.83	0.85	0.77	0.88	0.92	0.80	0.87	0.92	0.91	0.83	0.83	0.90	0.92
chr1	3225275	3225582	0.44	0.76	0.59	0.80	0.13	0.81	0.61	0.90	0.12	0.95	0.95	0.90	0.96	0.95	0.96	0.94	0.93	0.77	0.90	0.96	0.82	0.64	0.93	0.92	0.92	0.88	0.94	0.86	0.86	0.89	0.94	0.84	0.85	0.91	0.82	0.96	0.95	0.96	0.96
chr1	3536523	3536746	0.49	0.73	0.59	0.59	0.40	0.69	0.25	0.81	0.68	0.89	0.93	0.71	0.86	0.62	0.75	0.75	0.68	0.78	0.87	0.91	0.84	0.66	0.89	0.93	0.93	0.85	0.89	0.82	0.85	0.92	0.94	0.90	0.93	0.94	0.93	0.86	0.88	0.68	0.71
chr1	3577716	3577983	0.89	0.86	0.88	0.70	0.91	0.50	0.62	0.95	0.68	0.71	0.81	0.91	0.94	0.83	0.92	0.93	0.88	0.88	0.87	0.01	0.61	0.73	0.91	0.95	0.96	0.97	0.87	0.94	0.96	0.96	0.97	0.96	0.93	0.95	0.96	0.96	0.94	0.94	0.94
chr1	3580395	3580598	0.73	0.91	0.68	0.77	0.67	0.69	0.67	0.85	0.57	0.91	0.95	0.87	0.90	0.60	0.85	0.90	0.76	0.92	0.91	0.93	0.81	0.63	0.86	0.89	0.88	0.90	0.08	0.78	0.81	0.91	0.95	0.96	0.74	0.70	0.95	0.99	0.85	0.71	0.72
chr1	3647132	3647310	0.82	0.88	0.86	0.75	0.82	0.76	0.80	0.88	0.73	0.90	0.93	0.94	0.94	0.85	0.84	0.85	0.86	0.94	0.92	0.93	0.92	0.70	0.88	0.85	0.87	0.09	0.91	0.88	0.83	0.83	0.91	0.92	0.92	0.89	0.89	0.94	0.95	0.92	0.90
chr1	3779447	3779770	0.87	0.91	0.88	0.87	0.84	0.72	0.79	0.91	0.75	0.81	0.33	0.96	0.95	0.93	0.89	0.92	0.91	0.94	0.94	0.94	0.96	0.87	0.95	0.97	0.97	0.96	0.96	0.92	0.90	0.90	0.92	0.95	0.94	0.87	0.93	0.93	0.92	0.95	0.95
chr1	3843067	3843455	0.89	0.96	0.87	0.95	0.96	0.89	0.94	0.97	0.94	0.96	0.96	0.95	0.98	0.97	0.97	0.98	0.98	0.97	0.95	0.97	0.96	0.78	0.93	0.90	0.30	0.67	0.65	0.94	0.97	0.97	0.98	0.97	0.98	0.97	0.97	0.96	0.98	0.98	0.97
chr1	5880355	5880633	0.97	0.95	0.94	0.94	0.93	0.96	0.91	0.98	0.96	0.96	0.97	0.96	0.98	0.96	0.39	0.78	0.18	0.96	0.95	0.95	0.96	0.82	0.96	0.98	0.98	0.97	0.97	0.96	0.95	0.96	0.97	0.98	0.99	0.98	0.95	0.96	0.96	0.97	0.95
chr1	5895598	5895802	0.93	0.91	0.91	0.72	0.92	0.93	0.79	0.68	0.83	0.83	0.73	0.95	0.93	0.94	0.03	0.83	0.03	0.85	0.93	0.94	0.96	0.80	0.95	0.94	0.96	0.95	0.95	0.90	0.85	0.90	0.95	0.94	0.94	0.94	0.94	0.92	0.90	0.94	0.92
chr1	5920879	5921336	0.89	0.96	0.89	0.94	0.79	0.86	0.89	0.98	0.89	0.91	0.95	0.96	0.92	0.14	0.86	0.96	0.94	0.96	0.95	0.96	0.92	0.68	0.96	0.95	0.95	0.91	0.98	0.96	0.94	0.94	0.95	0.94	0.93	0.97	0.84	0.75	0.95	0.96	0.96
chr1	5922681	5922862	0.82	0.94	0.96	0.77	0.88	0.92	0.82	0.98	0.93	0.86	0.92	0.97	0.94	0.08	0.97	0.97	0.96	0.98	0.96	0.97	0.95	0.81	0.97	0.98	0.98	0.97	0.97	0.94	0.97	0.97	0.97	0.97	0.98	0.97	0.97	0.96	0.97	0.95	0.95
chr1	5950648	5950918	0.84	0.93	0.83	0.83	0.83	0.87	0.85	0.96	0.72	0.96	0.94	0.96	0.97	0.89	0.95	0.96	0.95	0.95	0.91	0.96	0.96	0.65	0.89	0.92	0.95	0.94	0.85	0.14	0.83	0.93	0.97	0.95	0.96	0.76	0.94	0.94	0.92	0.95	0.95
chr1	6056543	6056770	0.72	0.89	0.90	0.76	0.73	0.79	0.69	0.88	0.69	0.94	0.87	0.84	0.82	0.76	0.91	0.94	0.97	0.94	0.88	0.91	0.93	0.60	0.95	0.94	0.20	0.66	0.89	0.93	0.88	0.89	0.96	0.87	0.95	0.97	0.81	0.88	0.81	0.93	0.91
chr1	6073676	6074121	0.93	0.94	0.93	0.85	0.87	0.92	0.78	0.93	0.85	0.95	0.86	0.88	0.81	0.83	0.90	0.93	0.94	0.89	0.85	0.91	0.83	0.76	0.97	0.98	0.97	0.97	0.96	0.75	0.88	0.91	0.73	0.79	0.39	0.15	0.87	0.85	0.84	0.93	0.91
chr1	6269479	6269635	0.87	0.88	0.82	0.90	0.80	0.83	0.86	0.91	0.80	0.86	0.82	0.91	0.82	0.75	0.10	0.88	0.87	0.67	0.92	0.35	0.72	0.73	0.94	0.98	0.95	0.96	0.94	0.93	0.90	0.84	0.93	0.93	0.81	0.95	0.80	0.85	0.84	0.65	0.76
chr1	6282664	6283095	0.95	0.96	0.92	0.93	0.95	0.93	0.92	0.97	0.95	0.96	0.96	0.97	0.97	0.91	0.96	0.96	0.95	0.80	0.94	0.96	0.96	0.80	0.96	0.96	0.85	0.93	0.95	0.95	0.96	0.97	0.97	0.97	0.98	0.97	0.97	0.45	0.96	0.90	0.13
chr1	6435355	6435571	0.79	0.88	0.75	0.87	0.60	0.87	0.85	0.98	0.72	0.53	0.91	0.96	0.96	0.89	0.95	0.95	0.96	0.93	0.97	0.02	0.66	0.89	0.92	0.95	0.95	0.97	0.94	0.92	0.89	0.91	0.94	0.91	0.94	0.94	0.94	0.90	0.95	0.89	0.87
chr1	6690224	6690590	0.93	0.93	0.91	0.93	0.93	0.93	0.88	0.95	0.94	0.94	0.96	0.97	0.95	0.91	0.92	0.91	0.91	0.17	0.87	0.65	0.84	0.84	0.94	0.96	0.96	0.96	0.92	0.89	0.90	0.92	0.78	0.89	0.91	0.80	0.91	0.95	0.95	0.91	0.92
chr1	6917658	6917846	0.96	0.93	0.90	0.87	0.86	0.93	0.76	0.96	0.92	0.96	0.96	0.97	0.94	0.96	0.96	0.97	0.97	0.91	0.93	0.86	0.89	0.74	0.92	0.92	0.95	0.86	0.94	0.87	0.94	0.95	0.27	0.80	0.85	0.63	0.94	0.86	0.95	0.59	0.92
chr1	6953034	6953229	0.75	0.83	0.80	0.16	0.87	0.76	0.56	0.80	0.88	0.96	0.89	0.93	0.89	0.65	0.82	0.61	0.71	0.92	0.93	0.96	0.93	0.56	0.85	0.90	0.93	0.95	0.86	0.89	0.85	0.90	0.93	0.85	0.87	0.95	0.87	0.85	0.76	0.87	0.87
chr1	7386494	7386666	0.87	0.90	0.83	0.65	0.81	0.68	0.62	0.97	0.92	0.76	0.77	0.95	0.97	0.93	0.97	0.97	0.97	0.81	0.64	0.01	0.52	0.64	0.80	0.90	0.93	0.93	0.82	0.88	0.92	0.85	0.93	0.89	0.88	0.42	0.93	0.96	0.94	0.95	0.93
chr1	7679547	7679787	0.88	0.91	0.89	0.83	0.91	0.88	0.76	0.94	0.88	0.94	0.81	0.96	0.96	0.94	0.97	0.97	0.98	0.97	0.94	0.95	0.91	0.66	0.93	0.96	0.97	0.98	0.94	0.91	0.92	0.91	0.93	0.94	0.92	0.93	0.95	0.91	0.92	0.75	0.13
chr1	7689159	7689472	0.92	0.93	0.78	0.74	0.89	0.91	0.76	0.97	0.78	0.93	0.96	0.81	0.94	0.84	0.92	0.93	0.93	0.95	0.92	0.92	0.90	0.65	0.81	0.87	0.94	0.94	0.81	0.85	0.85	0.91	0.94	0.86	0.94	0.95	0.91	0.94	0.86	0.66	0.12
chr1	7743345	7743850	0.56	0.86	0.78	0.76	0.24	0.88	0.67	0.95	0.62	0.93	0.70	0.95	0.96	0.87	0.93	0.93	0.94	0.97	0.64	0.96	0.93	0.65	0.88	0.92	0.94	0.95	0.86	0.94	0.94	0.94	0.97	0.94	0.97	0.96	0.91	0.95	0.96	0.94	0.94
chr1	7824764	7825180	0.95	0.96	0.90	0.91	0.92	0.91	0.89	0.95	0.89	0.86	0.79	0.97	0.97	0.93	0.97	0.97	0.96	0.96	0.16	0.95	0.94	0.70	0.93	0.96	0.97	0.97	0.92	0.95	0.88	0.90	0.94	0.93	0.95	0.93	0.94	0.92	0.95	0.95	0.96
chr1	7991117	7991683	0.96	0.97	0.96	0.94	0.94	0.94	0.95	0.98	0.94	0.97	0.89	0.97	0.98	0.95	0.97	0.97	0.98	0.94	0.84	0.97	0.96	0.79	0.97	0.98	0.97	0.97	0.97	0.94	0.89	0.08	0.97	0.96	0.97	0.97	0.95	0.96	0.96	0.97	0.97
chr1	8046411	8046662	0.96	0.85	0.86	0.85	0.90	0.93	0.87	0.97	0.87	0.97	0.70	0.97	0.98	0.96	0.96	0.97	0.97	0.96	0.96	0.94	0.86	0.72	0.90	0.96	0.90	0.95	0.93	0.75	0.68	0.68	0.67	0.10	0.73	0.68	0.86	0.92	0.88	0.92	0.95
chr1	8135394	8135987	0.96	0.96	0.90	0.94	0.96	0.91	0.95	0.82	0.82	0.95	0.97	0.95	0.98	0.97	0.98	0.98	0.98	0.84	0.07	0.94	0.78	0.58	0.90	0.94	0.96	0.95	0.88	0.94	0.91	0.95	0.96	0.95	0.94	0.95	0.94	0.94	0.95	0.95	0.95
chr1	8152907	8153123	0.96	0.97	0.86	0.94	0.96	0.96	0.91	0.98	0.96	0.96	0.97	0.97	0.98	0.96	0.97	0.99	0.98	0.97	0.96	0.98	0.97	0.68	0.10	0.46	0.94	0.98	0.95	0.93	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.97	0.97	0.97	0.97
chr1	8467705	8467940	0.96	0.94	0.94	0.95	0.88	0.96	0.92	0.98	0.92	0.96	0.95	0.17	0.96	0.96	0.98	0.97	0.98	0.96	0.95	0.98	0.96	0.84	0.96	0.91	0.95	0.92	0.97	0.95	0.94	0.96	0.97	0.95	0.88	0.97	0.97	0.86	0.97	0.97	0.97
chr1	8609949	8610107	0.95	0.95	0.95	0.82	0.94	0.84	0.88	0.89	0.91	0.95	0.94	0.97	0.97	0.94	0.95	0.95	0.98	0.95	0.96	0.94	0.95	0.76	0.96	0.97	0.97	0.97	0.97	0.91	0.70	0.12	0.71	0.51	0.92	0.96	0.86	0.94	0.91	0.95	0.95
chr1	8747899	8748074	0.96	0.96	0.89	0.91	0.96	0.94	0.88	0.97	0.93	0.96	0.95	0.96	0.98	0.97	0.98	0.97	0.97	0.97	0.96	0.98	0.94	0.83	0.92	0.95	0.94	0.98	0.96	0.93	0.90	0.80	0.93	0.81	0.97	0.98	0.84	0.92	0.80	0.08	0.46
chr1	9048948	9049574	0.94	0.94	0.92	0.80	0.89	0.89	0.82	0.96	0.91	0.96	0.96	0.95	0.96	0.89	0.92	0.92	0.96	0.96	0.83	0.96	0.95	0.68	0.92	0.94	0.96	0.97	0.96	0.94	0.95	0.94	0.87	0.95	0.97	0.98	0.78	0.88	0.86	0.06	0.65
chr1	9313827	9314131	0.92	0.95	0.91	0.89	0.92	0.90	0.91	0.96	0.90	0.90	0.95	0.97	0.96	0.96	0.95	0.96	0.97	0.94	0.08	0.91	0.91	0.68	0.95	0.95	0.96	0.96	0.96	0.93	0.90	0.86	0.97	0.95	0.96	0.97	0.96	0.95	0.95	0.95	0.95
chr1	9540191	9540385	0.06	0.07	0.08	0.08	0.08	0.15	0.06	0.01	0.03	0.08	0.06	0.01	0.18	0.03	0.02	0.10	0.02	0.02	0.08	0.05	0.02	0.00	0.03	0.01	0.01	0.01	0.01	0.15	0.01	0.01	0.02	0.02	0.21	0.85	0.04	0.00	0.01	0.01	0.01
chr1	9554214	9554463	0.96	0.95	0.95	0.96	0.97	0.95	0.93	0.97	0.93	0.96	0.97	0.04	0.97	0.95	0.94	0.96	0.96	0.96	0.96	0.99	0.95	0.82	0.95	0.95	0.96	0.96	0.95	0.94	0.96	0.96	0.93	0.96	0.97	0.98	0.94	0.96	0.95	0.94	0.94
chr1	9606420	9606591	0.96	0.96	0.93	0.95	0.97	0.95	0.93	0.93	0.83	0.96	0.86	0.97	0.97	0.98	0.96	0.97	0.97	0.97	0.97	0.96	0.96	0.88	0.97	0.98	0.97	0.97	0.96	0.93	0.93	0.93	0.88	0.96	0.85	0.15	0.97	0.95	0.96	0.96	0.96
chr1	9852155	9852376	0.87	0.93	0.91	0.62	0.88	0.84	0.73	0.95	0.84	0.76	0.16	0.96	0.95	0.94	0.65	0.85	0.77	0.95	0.94	0.73	0.85	0.67	0.95	0.94	0.93	0.86	0.97	0.45	0.87	0.88	0.95	0.95	0.91	0.70	0.90	0.94	0.94	0.95	0.94
chr1	9877208	9877531	0.83	0.92	0.84	0.87	0.89	0.84	0.86	0.71	0.92	0.40	0.70	0.96	0.96	0.86	0.07	0.48	0.12	0.90	0.93	0.96	0.92	0.69	0.95	0.96	0.95	0.94	0.85	0.84	0.85	0.83	0.87	0.85	0.97	0.93	0.92	0.94	0.91	0.92	0.92
chr1	10029075	10029351	0.78	0.85	0.81	0.82	0.83	0.64	0.83	0.80	0.80	0.86	0.92	0.83	0.89	0.81	0.85	0.85	0.84	0.94	0.90	0.91	0.87	0.69	0.89	0.92	0.16	0.04	0.92	0.87	0.84	0.76	0.94	0.85	0.92	0.94	0.64	0.64	0.82	0.90	0.91
chr1	10073423	10073704	0.89	0.94	0.93	0.92	0.93	0.88	0.81	0.95	0.83	0.95	0.96	0.97	0.97	0.96	0.96	0.97	0.97	0.93	0.96	0.96	0.93	0.75	0.95	0.97	0.93	0.86	0.97	0.05	0.12	0.43	0.89	0.91	0.98	0.97	0.90	0.94	0.88	0.86	0.92
chr1	10113352	10113894	0.95	0.95	0.94	0.92	0.94	0.81	0.91	0.95	0.92	0.20	0.87	0.98	0.97	0.94	0.95	0.96	0.96	0.92	0.92	0.96	0.97	0.88	0.96	0.98	0.98	0.97	0.97	0.93	0.94	0.92	0.96	0.97	0.98	0.96	0.91	0.93	0.96	0.96	0.96
chr1	10143821	10144462	0.93	0.94	0.82	0.91	0.95	0.93	0.90	0.92	0.91	0.07	0.67	0.97	0.95	0.91	0.91	0.93	0.93	0.95	0.93	0.96	0.80	0.89	0.96	0.97	0.97	0.97	0.94	0.90	0.93	0.93	0.92	0.96	0.83	0.76	0.94	0.96	0.95	0.93	0.92
chr1	10151292	10151631	0.92	0.95	0.95	0.91	0.93	0.67	0.91	0.94	0.88	0.96	0.96	0.77	0.98	0.92	0.91	0.93	0.94	0.95	0.93	0.96	0.96	0.85	0.95	0.97	0.72	0.01	0.96	0.92	0.91	0.91	0.94	0.90	0.95	0.94	0.96	0.96	0.95	0.93	0.92
chr1	10250218	10250496	0.95	0.97	0.92	0.95	0.95	0.83	0.94	0.96	0.92	0.94	0.92	0.98	0.98	0.96	0.98	0.97	0.98	0.94	0.97	0.98	0.94	0.66	0.94	0.96	0.93	0.23	0.95	0.92	0.97	0.98	0.97	0.94	0.97	0.99	0.98	0.90	0.97	0.95	0.95
chr1	10361609	10362047	0.94	0.95	0.92	0.84	0.93	0.87	0.86	0.11	0.92	0.93	0.91	0.97	0.96	0.95	0.94	0.88	0.93	0.96	0.97	0.98	0.94	0.70	0.96	0.97	0.98	0.97	0.96	0.94	0.92	0.87	0.95	0.97	0.98	0.96	0.94	0.95	0.96	0.96	0.96
chr1	10381544	10382014	0.88	0.94	0.87	0.84	0.92	0.91	0.86	0.96	0.84	0.86	0.74	0.97	0.97	0.92	0.94	0.95	0.96	0.97	0.04	0.96	0.96	0.70	0.94	0.96	0.95	0.80	0.94	0.96	0.92	0.93	0.96	0.92	0.94	0.95	0.94	0.96	0.95	0.96	0.95
chr1	10513827	10514013	0.97	0.96	0.93	0.95	0.95	0.96	0.95	0.97	0.93	0.96	0.93	0.92	0.77	0.93	0.52	0.02	0.69	0.88	0.95	0.89	0.93	0.85	0.96	0.95	0.98	0.96	0.97	0.88	0.96	0.96	0.95	0.96	0.91	0.97	0.95	0.57	0.91	0.96	0.94
chr1	10525686	10525916	0.96	0.96	0.94	0.96	0.93	0.92	0.93	0.96	0.91	0.94	0.97	0.97	0.97	0.98	0.96	0.98	0.98	0.96	0.95	0.98	0.96	0.79	0.84	0.22	0.97	0.98	0.96	0.96	0.96	0.94	0.98	0.98	0.98	0.97	0.97	0.95	0.95	0.96	0.97
chr1	10620747	10621083	0.95	0.94	0.90	0.92	0.94	0.91	0.90	0.90	0.90	0.26	0.89	0.94	0.96	0.92	0.94	0.93	0.96	0.94	0.02	0.95	0.93	0.79	0.95	0.96	0.98	0.97	0.97	0.93	0.93	0.90	0.88	0.93	0.96	0.96	0.83	0.94	0.92	0.95	0.95
chr1	10621099	10621267	0.95	0.95	0.96	0.93	0.97	0.92	0.90	0.96	0.96	0.88	0.90	0.97	0.96	0.68	0.94	0.95	0.94	0.97	0.02	0.98	0.97	0.78	0.95	0.96	0.98	0.98	0.97	0.90	0.79	0.81	0.92	0.86	0.97	0.92	0.91	0.95	0.95	0.95	0.94
chr1	10642449	10642740	0.83	0.85	0.86	0.86	0.90	0.86	0.83	0.86	0.78	0.89	0.85	0.97	0.96	0.95	0.88	0.93	0.94	0.84	0.94	0.74	0.85	0.74	0.93	0.96	0.92	0.93	0.92	0.91	0.87	0.17	0.70	0.91	0.86	0.81	0.86	0.57	0.82	0.88	0.85
chr1	10706572	10706779	0.90	0.94	0.88	0.77	0.87	0.94	0.80	0.07	0.84	0.95	0.96	0.97	0.97	0.95	0.97	0.97	0.97	0.95	0.96	0.98	0.97	0.68	0.90	0.93	0.95	0.93	0.91	0.94	0.94	0.94	0.96	0.96	0.97	0.97	0.93	0.93	0.93	0.94	0.94
chr1	10820995	10821153	0.86	0.88	0.79	0.76	0.84	0.87	0.66	0.82	0.05	0.94	0.97	0.95	0.97	0.93	0.95	0.93	0.89	0.93	0.91	0.95	0.91	0.65	0.88	0.91	0.94	0.92	0.86	0.88	0.76	0.76	0.89	0.85	0.95	0.85	0.88	0.94	0.94	0.94	0.94
chr1	11046519	11046726	0.88	0.91	0.90	0.86	0.91	0.75	0.82	0.94	0.74	0.92	0.94	0.06	0.95	0.92	0.94	0.95	0.92	0.88	0.88	0.92	0.89	0.77	0.92	0.95	0.96	0.97	0.94	0.91	0.93	0.92	0.95	0.94	0.97	0.95	0.90	0.90	0.94	0.92	0.90
chr1	11046885	11047250	0.90	0.92	0.88	0.86	0.86	0.91	0.84	0.94	0.81	0.96	0.96	0.07	0.95	0.92	0.94	0.94	0.93	0.90	0.93	0.91	0.93	0.74	0.90	0.92	0.95	0.96	0.91	0.92	0.92	0.93	0.96	0.92	0.95	0.96	0.87	0.92	0.90	0.94	0.90
chr1	11082173	11082593	0.93	0.93	0.92	0.92	0.94	0.92	0.88	0.94	0.90	0.95	0.84	0.91	0.92	0.87	0.64	0.57	0.23	0.88	0.95	0.92	0.87	0.89	0.95	0.97	0.96	0.95	0.95	0.93	0.92	0.95	0.96	0.95	0.95	0.92	0.92	0.94	0.92	0.93	0.94
