chromosome	start	end	Monocytes_EPIC	B-cells_EPIC	CD4T-cells_EPIC	NK-cells_EPIC	CD8T-cells_EPIC	Neutrophils_EPIC	Erythrocyte_progenitors	Adipocytes	Cortical_neurons	Hepatocytes	Lung_cells	Pancreatic_beta_cells	Pancreatic_acinar_cells	Pancreatic_duct_cells	Vascular_endothelial_cells	Colon_epithelial_cells	Left_atrium	Bladder	Breast	Head_and_neck_larynx	Kidney	Prostate	Thyroid	Upper_GI	Uterus_cervix
chr1	1110944	1110945	0.9752	0.9757	0.9749	0.9755	0.9758	0.9763	0.9863	0.9747	0.6214	0.9791	0.9826	0.975775	0.9827	0.9418	0.9709	0.9767	0.987	0.983	0.967	0.9794	0.9749	0.9827	0.982	0.9807	0.9812
chr1	1130484	1130485	0.9347	0.9353	0.9318	0.9115	0.9376	0.9387	0.9611	0.9283	0.8641	0.9353	0.6339	0.526825	0.6734	0.0733	0.922	0.0094	0.8923	0.8727	0.8273	0.8442	0.2729	0.8295	0.8879	0.4126	0.8433
chr1	1137262	1137263	0.0052	0.0048	0.0031	0.0041	0.0042	0.0067	0.0004	0.0232	0.0087	0.0595	0.0084	0.003975	0.0114	0.0245	0.007	0.007	0.0196	0.0039	0.0127	0.0016	0.1806	0.0026	0.0027	0.0131	0.0047
chr1	1160227	1160228	0.9224	0.923	0.924	0.9242	0.9218	0.9129	0.9526	0.7734	0.9252	0.9139	0.9153	0.90465	0.9279	0.9241	0.912	0.0514	0.9318	0.9351	0.9057	0.9277	0.9303	0.9331	0.9304	0.9166	0.9199
chr1	1185237	1185238	0.975	0.614	0.9764	0.9083	0.9823	0.981	0.9889	0.9815	0.5987	0.9833	0.9827	0.98445	0.9869	0.9889	0.9717	0.9787	0.9824	0.9889	0.8076	0.96	0.9238	0.9781	0.9574	0.981	0.9792
chr1	1206410	1206411	0.0028	0.0073	0.004	0.002	0.0066	0.0032	0.0009	0.0032	0.1106	0.0138	0.0077	0.0533	0.0573	0.0293	0.0316	0.0011	0.0011	0.0099	0.1336	0.003	0.0073	0.0162	0.002	0.0045	0.0219
chr1	1217200	1217201	0.9424	0.9398	0.5155	0.6054	0.9065	0.9288	0.9708	0.5889	0.92	0.9628	0.9439	0.9379	0.9486	0.95	0.9098	0.9607	0.6784	0.8394	0.7874	0.8302	0.8995	0.9082	0.7975	0.805	0.8949
chr1	1219473	1219474	0.953	0.8594	0.4346	0.8889	0.632	0.9526	0.9846	0.8322	0.955	0.9692	0.9342	0.970125	0.968	0.9756	0.8654	0.9682	0.8798	0.8306	0.8846	0.7934	0.9018	0.8832	0.8497	0.8146	0.9104
chr1	1219646	1219647	0.9661	0.9401	0.6275	0.9554	0.8719	0.9636	0.9811	0.9621	0.9564	0.9599	0.9505	0.9739	0.9715	0.9675	0.9412	0.9514	0.9745	0.9701	0.9721	0.9611	0.9775	0.9756	0.9755	0.9707	0.9783
chr1	1225689	1225690	0.9759	0.9758	0.9742	0.9731	0.9756	0.9771	0.9833	0.9843	0.8137	0.9781	0.9711	0.980475	0.9819	0.978	0.9786	0.9744	0.9821	0.982	0.9836	0.9784	0.9823	0.9786	0.983	0.8637	0.9796
chr1	1254716	1254717	0.9686	0.9664	0.9635	0.969	0.967	0.9677	0.9806	0.9738	0.9657	0.9732	0.9767	0.97095	0.9759	0.9798	0.9216	0.9704	0.9713	0.8579	0.9679	0.9642	0.974	0.8616	0.9702	0.9779	0.9271
chr1	1254757	1254758	0.952	0.9498	0.948	0.9483	0.9519	0.9468	0.9702	0.9578	0.9223	0.9401	0.939	0.921325	0.9452	0.9478	0.8414	0.932	0.9495	0.73	0.9074	0.9289	0.9606	0.6509	0.9575	0.9493	0.8851
chr1	1460899	1460900	0.8043	0.9096	0.9209	0.8746	0.9348	0.7792	0.8309	0.8907	0.9449	0.9754	0.8036	0.95145	0.9578	0.9662	0.8673	0.8748	0.8914	0.5989	0.9652	0.7496	0.9677	0.8692	0.937	0.9143	0.941
chr1	1460916	1460917	0.8945	0.9491	0.9477	0.9286	0.9494	0.8693	0.8928	0.8913	0.9524	0.9432	0.8679	0.944325	0.9399	0.9504	0.8692	0.8718	0.9146	0.5553	0.9573	0.7202	0.9554	0.8639	0.9465	0.8995	0.9426
chr1	1537767	1537768	0.8365	0.8251	0.824	0.8254	0.8315	0.8283	0.8771	0.8278	0.7129	0.8103	0.8347	0.791075	0.8022	0.8081	0.8142	0.8197	0.8422	0.8667	0.8686	0.8548	0.8641	0.859	0.8516	0.8417	0.8567
chr1	1537813	1537814	0.9713	0.9683	0.9729	0.9708	0.9733	0.971	0.9877	0.9807	0.5389	0.9755	0.9803	0.98015	0.9802	0.9808	0.9538	0.9765	0.9863	0.9865	0.9825	0.9794	0.9838	0.9824	0.9819	0.9842	0.9794
chr1	1625424	1625425	0.9256	0.9243	0.9023	0.8943	0.9198	0.9064	0.9649	0.9168	0.9019	0.9144	0.9241	0.91505	0.9166	0.9299	0.7707	0.9303	0.6776	0.9082	0.9547	0.9574	0.9532	0.9565	0.9511	0.9535	0.9382
chr1	1628120	1628121	0.9712	0.9541	0.9403	0.7924	0.9535	0.9692	0.9814	0.9588	0.946	0.9796	0.9755	0.97025	0.967	0.9745	0.902	0.9798	0.9643	0.9729	0.9544	0.6836	0.9791	0.9765	0.9708	0.9628	0.9708
chr1	1675118	1675119	0.9664	0.8321	0.9627	0.9671	0.9534	0.9632	0.9822	0.9752	0.8882	0.9682	0.9594	0.972225	0.9431	0.9657	0.9508	0.9534	0.9858	0.9824	0.9391	0.9268	0.6509	0.9779	0.9782	0.9385	0.9471
chr1	1757537	1757538	0.9128	0.9062	0.8836	0.8289	0.893	0.8849	0.925	0.7574	0.8318	0.3934	0.8511	0.8014	0.8214	0.8594	0.8202	0.8335	0.8993	0.851	0.8617	0.8751	0.7061	0.8729	0.8811	0.7476	0.8331
chr1	1757573	1757574	0.9715	0.9662	0.9735	0.9494	0.9686	0.9627	0.9834	0.9558	0.9761	0.5437	0.9681	0.982475	0.9642	0.9748	0.956	0.9693	0.979	0.984	0.9776	0.9808	0.8182	0.9798	0.9786	0.9764	0.9766
chr1	1782562	1782563	0.0929	0.275	0.5028	0.1756	0.5513	0.0869	0.1349	0.045	0.2272	0.025	0.0272	0.038375	0.0267	0.0269	0.0812	0.0297	0.07	0.067	0.0502	0.0652	0.0442	0.0374	0.0448	0.0569	0.048
chr1	2054836	2054837	0.9638	0.9659	0.9636	0.964	0.9657	0.9636	0.9667	0.9311	0.782	0.9494	0.1501	0.94085	0.9537	0.9477	0.9174	0.9633	0.9302	0.9496	0.8353	0.9422	0.8718	0.7648	0.9073	0.9398	0.9514
chr1	2084376	2084377	0.9776	0.9765	0.9722	0.9742	0.9742	0.9725	0.9865	0.9762	0.708	0.9757	0.9767	0.980625	0.9739	0.9753	0.9586	0.9749	0.9812	0.9853	0.9835	0.9872	0.9872	0.9847	0.9856	0.9887	0.9807
chr1	2096544	2096545	0.9735	0.9704	0.9716	0.9735	0.9732	0.9698	0.9852	0.9805	0.5213	0.974	0.9785	0.97635	0.9808	0.9782	0.974	0.9759	0.973	0.9858	0.9742	0.982	0.981	0.9817	0.9823	0.9821	0.9798
chr1	2112322	2112323	0.4839	0.4114	0.6527	0.6211	0.6661	0.5261	0.726	0.5146	0.5757	0.8265	0.4912	0.793825	0.8543	0.812	0.6186	0.826	0.6785	0.6916	0.789	0.781	0.7584	0.6488	0.6985	0.7752	0.6862
chr1	2112360	2112361	0.829	0.3837	0.9173	0.8759	0.9472	0.9098	0.9852	0.9163	0.774	0.9593	0.7922	0.968475	0.9693	0.9633	0.893	0.9573	0.9182	0.8427	0.9159	0.9077	0.9064	0.9042	0.9391	0.9102	0.9264
chr1	2133002	2133003	0.0203	0.0291	0.0285	0.0242	0.0296	0.0308	0.0221	0.0065	0.0344	0.1977	0.0147	0.007875	0.0734	0.0094	0.0216	0.0122	0.0178	0.0392	0.0205	0.0116	0.1641	0.0093	0.0646	0.0134	0.0073
chr1	2133252	2133253	0.0234	0.0267	0.0233	0.0271	0.0243	0.0243	0.0252	0.0178	0.0395	0.207	0.0224	0.0464	0.088	0.0293	0.035	0.0445	0.0372	0.0547	0.0347	0.0141	0.2127	0.016	0.0291	0.0274	0.0232
chr1	2133380	2133381	0.0101	0.0198	0.0178	0.0176	0.0175	0.0143	0.0174	0.0114	0.0258	0.2834	0.0296	0.024975	0.122	0.0202	0.0284	0.0291	0.0322	0.0419	0.0345	0.0058	0.2382	0.0071	0.0179	0.0179	0.0145
chr1	2168996	2168997	0.9771	0.9767	0.9724	0.9751	0.9759	0.9754	0.9802	0.9728	0.676	0.983	0.9824	0.974275	0.9756	0.9822	0.9734	0.983	0.9797	0.9837	0.9756	0.9782	0.9794	0.9769	0.9789	0.9786	0.9747
chr1	2233103	2233104	0.2468	0.895	0.4324	0.9121	0.8619	0.2312	0.2341	0.1547	0.0667	0.0373	0.1118	0.48695	0.402	0.109	0.1688	0.5197	0.1974	0.5452	0.2254	0.2646	0.2678	0.2898	0.3964	0.2428	0.2367
chr1	2233163	2233164	0.2215	0.8404	0.4712	0.8616	0.8647	0.1598	0.0992	0.1173	0.0868	0.0434	0.1208	0.5622	0.5417	0.0926	0.0974	0.5718	0.1074	0.5367	0.1985	0.2402	0.3027	0.2351	0.3666	0.171	0.2242
chr1	2251173	2251174	0.9815	0.9798	0.9806	0.9806	0.981	0.9827	0.986	0.6502	0.7446	0.0526	0.979	0.974575	0.9832	0.9648	0.7112	0.975	0.8699	0.9536	0.8923	0.8899	0.6601	0.9087	0.9591	0.9463	0.9608
chr1	2290814	2290815	0.0098	0.012	0.0101	0.0113	0.014	0.0115	0.0043	0.0168	0.0309	0.9403	0.1394	0.778375	0.906	0.9133	0.022	0.9663	0.3504	0.5491	0.185	0.4237	0.6465	0.2807	0.754	0.5766	0.0464
chr1	2318178	2318179	0.9763	0.973	0.9733	0.9733	0.9742	0.9762	0.9869	0.8493	0.9787	0.9736	0.981	0.970575	0.9619	0.9737	0.7086	0.9811	0.9093	0.9581	0.9623	0.9688	0.9575	0.9784	0.9573	0.976	0.9442
chr1	2403475	2403476	0.9641	0.959	0.9528	0.9522	0.9622	0.9532	0.9661	0.972	0.925	0.9321	0.9434	0.95245	0.9519	0.9601	0.9304	0.9366	0.951	0.9774	0.8881	0.7259	0.977	0.9346	0.9754	0.9674	0.962
chr1	2443571	2443572	0.0308	0.1282	0.0415	0.037	0.067	0.0269	0.0058	0.0104	0.0323	0.038	0.0265	0.010525	0.0481	0.0463	0.0298	0.0316	0.01	0.5746	0.0106	0.0506	0.009	0.0052	0.0165	0.0325	0.0133
chr1	2443981	2443982	0.0272	0.1311	0.0421	0.0296	0.064	0.0172	0.0175	0.024	0.0175	0.056	0.0314	0.024425	0.0291	0.0259	0.0196	0.0482	0.021	0.5628	0.0505	0.2007	0.0338	0.124	0.0392	0.0819	0.028
chr1	2530381	2530382	0.0052	0.0058	0.0092	0.0082	0.0165	0.0057	0.0037	0.0105	0.1517	0.0078	0.0056	0.005575	0.0916	0.0087	0.007	0.0043	0.0062	0.0068	0.0492	0.0505	0.0488	0.1453	0.0062	0.002	0.0083
chr1	2530384	2530385	0.0302	0.0354	0.0452	0.0362	0.052	0.0363	0.0185	0.0141	0.1764	0.0573	0.0247	0.024625	0.1673	0.0388	0.0302	0.0328	0.0361	0.0261	0.0655	0.0624	0.0584	0.1816	0.0295	0.0204	0.0346
chr1	2530395	2530396	0.0139	0.019	0.0366	0.0313	0.0452	0.017	0.006	0.0093	0.1889	0.0271	0.0083	0.017275	0.2279	0.0317	0.0057	0.0081	0.0144	0.0194	0.0833	0.0906	0.1059	0.1952	0.0263	0.018	0.0234
chr1	2530399	2530400	0.0406	0.0421	0.0582	0.0433	0.0545	0.0369	0.0231	0.0389	0.1412	0.0569	0.0302	0.037225	0.1431	0.0338	0.0403	0.0287	0.0285	0.0403	0.0817	0.0832	0.0854	0.1611	0.0465	0.0402	0.0567
chr1	2546650	2546651	0.0024	0.0026	0.005	0.0044	0.0031	0.003	0.0029	0.0004	0.1918	0.0031	0.0034	0.01445	0.0167	0.0049	0.0122	0.0053	0.0078	0.0018	0.0033	0.0132	0.0045	0.0129	0.0412	0.0047	0.0154
chr1	2588481	2588482	0.9691	0.9442	0.9551	0.9663	0.9539	0.9699	0.9762	0.961	0.9684	0.9695	0.971	0.9724	0.9543	0.959	0.9664	0.9505	0.9663	0.9723	0.9683	0.97	0.9691	0.9705	0.9666	0.7078	0.9648
chr1	2606280	2606281	0.984	0.9836	0.981	0.9815	0.9817	0.9826	0.9928	0.7496	0.861	0.9067	0.9684	0.792425	0.9104	0.9852	0.9498	0.9854	0.8925	0.9708	0.8729	0.9455	0.7902	0.9601	0.3776	0.9713	0.8579
chr1	2606309	2606310	0.8741	0.8678	0.8586	0.8722	0.8774	0.8647	0.8507	0.6845	0.783	0.779	0.8002	0.72065	0.758	0.8149	0.7941	0.8346	0.7794	0.8438	0.7773	0.8204	0.7579	0.8522	0.4064	0.832	0.7685
chr1	2911233	2911234	0.8828	0.8661	0.7877	0.8417	0.8246	0.8564	0.9189	0.7784	0.7255	0.5973	0.7303	0.733125	0.4695	0.8379	0.7233	0.6931	0.8928	0.8307	0.5699	0.7569	0.8665	0.6927	0.8734	0.8336	0.8617
chr1	2911268	2911269	0.9786	0.9754	0.9742	0.9734	0.9726	0.9752	0.9862	0.9825	0.7204	0.883	0.9767	0.968525	0.7527	0.9578	0.8629	0.98	0.9816	0.9666	0.639	0.9565	0.9788	0.8593	0.9803	0.9838	0.9785
chr1	3033069	3033070	0.9082	0.8581	0.4142	0.8404	0.3774	0.9074	0.9706	0.7751	0.8954	0.5927	0.833	0.871225	0.716	0.8956	0.7728	0.5607	0.8763	0.844	0.7177	0.7305	0.9225	0.8458	0.9181	0.8786	0.8683
chr1	3033109	3033110	0.958	0.9339	0.3701	0.8623	0.3005	0.9617	0.9877	0.8564	0.9576	0.7094	0.9656	0.9768	0.9135	0.9805	0.8842	0.8286	0.9421	0.8546	0.8366	0.8574	0.9542	0.9207	0.9514	0.9215	0.9371
chr1	3068266	3068267	0.0154	0.0717	0.0187	0.0171	0.0269	0.0108	0.0047	0.0082	0.0228	0.0223	0.0138	0.18295	0.5464	0.0257	0.0306	0.0218	0.0236	0.1382	0.0399	0.0387	0.0201	0.0328	0.0175	0.0539	0.0402
chr1	3121652	3121653	0.958	0.9676	0.9567	0.9606	0.9574	0.9565	0.984	0.3028	0.8428	0.9005	0.948	0.96185	0.9445	0.9471	0.6492	0.9568	0.8265	0.9092	0.8556	0.8327	0.863	0.9546	0.9236	0.9071	0.832
chr1	3140802	3140803	0.9731	0.9742	0.9732	0.9668	0.9727	0.9687	0.9863	0.6996	0.9748	0.9345	0.9669	0.94055	0.9611	0.9691	0.876	0.9684	0.9654	0.8325	0.8452	0.9694	0.6727	0.8115	0.9802	0.9035	0.6438
chr1	3162505	3162506	0.9705	0.9709	0.9718	0.965	0.971	0.9678	0.9871	0.3188	0.8345	0.8136	0.9553	0.943325	0.9235	0.9258	0.7375	0.9457	0.7551	0.7234	0.7557	0.9115	0.645	0.9193	0.9515	0.9191	0.6016
chr1	3162648	3162649	0.9793	0.9734	0.9707	0.9746	0.9734	0.9722	0.9881	0.3194	0.8983	0.8227	0.9785	0.961125	0.9752	0.9781	0.8365	0.9798	0.7448	0.7386	0.7483	0.7453	0.6364	0.9108	0.9503	0.9015	0.6228
chr1	3164662	3164663	0.9762	0.9713	0.9695	0.9656	0.9736	0.9701	0.9845	0.7305	0.9723	0.9621	0.9769	0.97685	0.9713	0.9798	0.8956	0.975	0.9113	0.9626	0.8889	0.9787	0.8245	0.9752	0.9692	0.9608	0.8657
chr1	3171145	3171146	0.0931	0.1269	0.1779	0.154	0.2088	0.0913	0.0491	0.1114	0.4559	0.0888	0.0762	0.054175	0.091	0.0813	0.1264	0.0774	0.095	0.0696	0.0843	0.069	0.0774	0.0744	0.0703	0.0611	0.0793
chr1	3171170	3171171	0.0057	0.0107	0.0455	0.053	0.0652	0.0052	0.0073	0.0101	0.4144	0.0066	0.0058	0.0103	0.0075	0.0029	0.0164	0.0047	0.0104	0.0062	0.01	0.0045	0.0157	0.0098	0.0069	0.0102	0.0063
chr1	3190726	3190727	0.9756	0.9698	0.9669	0.9678	0.9704	0.9666	0.9895	0.9837	0.8896	0.9431	0.879	0.3924	0.8393	0.3923	0.9546	0.9708	0.9757	0.9697	0.9856	0.9755	0.7729	0.9819	0.9775	0.9713	0.9532
chr1	3206490	3206491	0.9698	0.9632	0.9685	0.963	0.9719	0.97	0.9899	0.9211	0.9739	0.8677	0.9713	0.952075	0.9354	0.9463	0.957	0.9782	0.933	0.92	0.8141	0.9061	0.6026	0.9658	0.9758	0.9602	0.9475
chr1	3209469	3209470	0.9616	0.9568	0.9538	0.9565	0.9586	0.9608	0.971	0.8298	0.9474	0.8142	0.9641	0.827225	0.7941	0.4083	0.9368	0.9362	0.9117	0.9221	0.8994	0.9455	0.6646	0.9506	0.9569	0.854	0.9202
chr1	3217199	3217200	0.9837	0.9828	0.9807	0.9772	0.9767	0.9818	0.9913	0.648	0.61	0.9116	0.4516	0.76525	0.9591	0.0727	0.7832	0.9811	0.8963	0.8627	0.5896	0.884	0.4612	0.7379	0.3018	0.7729	0.5232
chr1	3243051	3243052	0.926	0.9084	0.8831	0.9095	0.8832	0.924	0.9549	0.7828	0.7979	0.7608	0.8873	0.888275	0.9087	0.9261	0.896	0.9384	0.7408	0.7876	0.7556	0.7408	0.8508	0.6588	0.2738	0.8528	0.8595
chr1	3243081	3243082	0.9363	0.9356	0.9343	0.9358	0.9394	0.9439	0.9818	0.7807	0.8089	0.8438	0.9203	0.919475	0.9316	0.958	0.8878	0.9355	0.8041	0.8381	0.8157	0.8329	0.9278	0.7008	0.1971	0.8989	0.9129
chr1	3360961	3360962	0.9545	0.9489	0.9466	0.9541	0.9476	0.9522	0.9715	0.9465	0.7018	0.8167	0.9434	0.924575	0.9301	0.9504	0.9453	0.9562	0.9276	0.7826	0.887	0.8728	0.8555	0.5043	0.3395	0.9462	0.9152
chr1	3360993	3360994	0.9836	0.9803	0.9792	0.9827	0.9813	0.985	0.9899	0.9844	0.8036	0.8781	0.9846	0.98135	0.9723	0.9891	0.9752	0.9854	0.9824	0.8701	0.9616	0.9329	0.9471	0.5475	0.3938	0.9871	0.9728
chr1	3361059	3361060	0.9704	0.9723	0.9632	0.9674	0.9705	0.9613	0.9818	0.9587	0.8148	0.7531	0.9723	0.966	0.9751	0.977	0.942	0.9757	0.9667	0.759	0.914	0.8949	0.9233	0.4027	0.3093	0.9845	0.9492
chr1	3393704	3393705	0.0153	0.1093	0.0343	0.0237	0.0679	0.0146	0.0063	0.0088	0.1915	0.0136	0.3291	0.482575	0.8265	0.624	0.0379	0.0159	0.01	0.0067	0.0323	0.0132	0.1094	0.0042	0.0552	0.0303	0.0176
chr1	3468365	3468366	0.9427	0.9017	0.9198	0.9523	0.9182	0.936	0.9767	0.9694	0.9844	0.9824	0.9634	0.9879	0.9851	0.9871	0.9607	0.9823	0.96	0.9432	0.9135	0.7504	0.9885	0.881	0.9871	0.9544	0.9735
chr1	3473180	3473181	0.974	0.963	0.9382	0.9662	0.9491	0.9743	0.9876	0.9632	0.9746	0.9853	0.9484	0.98535	0.9834	0.9823	0.9612	0.9868	0.9824	0.9294	0.7767	0.6663	0.9865	0.8438	0.9858	0.982	0.9767
chr1	3690837	3690838	0.9744	0.9676	0.956	0.9636	0.9564	0.9748	0.9889	0.9351	0.9788	0.9696	0.8994	0.9692	0.921	0.9664	0.955	0.9675	0.9826	0.8831	0.6924	0.6043	0.982	0.684	0.9772	0.9679	0.9693
chr1	3690861	3690862	0.8174	0.7998	0.7292	0.7726	0.7241	0.8109	0.8339	0.7014	0.7571	0.684	0.6269	0.727225	0.6753	0.691	0.6983	0.7129	0.7442	0.514	0.4931	0.4523	0.7341	0.4563	0.7574	0.7042	0.7279
chr1	3746967	3746968	0.0029	0.0063	0.0204	0.0064	0.0452	0.0048	0.0092	0.007	0.0043	0.001	0.004	0.0101	0.0074	0.0054	0.0078	0.8057	0.018	0.0751	0.0112	0.0049	0.0107	0.0068	0.0101	0.0123	0.0117
chr1	3747141	3747142	0.0254	0.0385	0.0356	0.0345	0.0482	0.0278	0.0109	0.0141	0.0577	0.0443	0.037	0.0194	0.0371	0.0343	0.0526	0.7267	0.0184	0.0459	0.0112	0.0029	0.0109	0.0076	0.0089	0.0078	0.0172
chr1	4215081	4215082	0.9726	0.9745	0.9726	0.9744	0.971	0.9722	0.9747	0.9554	0.93	0.7644	0.9622	0.974275	0.8455	0.9419	0.9103	0.9729	0.8767	0.9659	0.7726	0.5948	0.9744	0.9331	0.9737	0.972	0.9056
chr1	6071616	6071617	0.9728	0.9734	0.9691	0.9688	0.9725	0.9654	0.9848	0.9793	0.5163	0.9223	0.9525	0.962275	0.8993	0.9158	0.9322	0.9525	0.9826	0.981	0.9824	0.9425	0.9772	0.9831	0.9663	0.9807	0.9686
chr1	6205969	6205970	0.005	0.0099	0.0086	0.0063	0.0084	0.0076	0.0075	0.005	0.2516	0.0056	0.0098	0.041775	0.3023	0.048	0.0145	0.0096	0.0096	0.0061	0.0108	0.0074	0.0048	0.0026	0.0064	0.0051	0.0085
chr1	6249240	6249241	0.0633	0.0742	0.075	0.0726	0.0652	0.0566	0.059	0.0533	0.3901	0.0693	0.0607	0.115675	0.1107	0.0484	0.0706	0.0415	0.0748	0.0628	0.0884	0.0841	0.0869	0.143	0.07	0.0952	0.1067
chr1	6249283	6249284	0.0032	0.0136	0.0096	0.0065	0.0116	0.0064	0.002	0.0054	0.3392	0.0065	0.0088	0.00705	0.0126	0.0042	0.0261	0.0104	0.0044	0.0067	0.0221	0.0237	0.0157	0.0627	0.0044	0.0432	0.0136
chr1	6254053	6254054	0.9792	0.9833	0.9755	0.97	0.9779	0.9674	0.9762	0.9742	0.6881	0.9905	0.985	0.952975	0.7187	0.9595	0.9776	0.9853	0.9884	0.9827	0.9821	0.9864	0.9887	0.9858	0.9872	0.9769	0.985
chr1	6273736	6273737	0.8493	0.8464	0.8451	0.8503	0.8556	0.8364	0.9066	0.8218	0.3028	0.7078	0.8057	0.836725	0.8137	0.7624	0.778	0.4912	0.8681	0.8619	0.7754	0.8346	0.4181	0.8182	0.8861	0.8297	0.8666
chr1	6273783	6273784	0.9626	0.963	0.9604	0.9648	0.9629	0.9633	0.9694	0.9684	0.2313	0.962	0.9482	0.9592	0.967	0.9381	0.9453	0.8132	0.9524	0.9601	0.8579	0.9398	0.3773	0.9295	0.9665	0.9508	0.9596
chr1	6273807	6273808	0.8824	0.8854	0.8738	0.8723	0.8812	0.8609	0.9316	0.9005	0.4555	0.8812	0.87	0.87255	0.8578	0.8611	0.8559	0.7875	0.9242	0.9086	0.88	0.8784	0.5425	0.8792	0.9016	0.8766	0.9091
chr1	6447919	6447920	0.0498	0.0457	0.0247	0.0296	0.0505	0.0337	0.0208	0.0094	0.2031	0.5307	0.013	0.037675	0.1688	0.1933	0.0486	0.1673	0.006	0.0124	0.1283	0.005	0.3575	0.0182	0.0081	0.0287	0.0576
chr1	6447968	6447969	0.0217	0.0285	0.0237	0.0229	0.0307	0.0199	0.0246	0.0222	0.1546	0.3226	0.0142	0.015375	0.0788	0.0598	0.0144	0.0136	0.0118	0.0124	0.1777	0.0068	0.4081	0.0224	0.0121	0.0306	0.0463
chr1	6470555	6470556	0.9791	0.9773	0.9693	0.9796	0.978	0.9759	0.9878	0.9745	0.7188	0.9137	0.9777	0.976275	0.9812	0.9817	0.9722	0.9823	0.9794	0.98	0.9844	0.9821	0.9865	0.9796	0.9837	0.9841	0.9795
chr1	6473308	6473309	0.9749	0.9716	0.9709	0.9704	0.9712	0.9715	0.9835	0.9753	0.9673	0.9286	0.9667	0.96815	0.9696	0.9775	0.9716	0.5424	0.9822	0.9819	0.984	0.983	0.9835	0.9797	0.9807	0.9809	0.981
